;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges
0;Yes;0;0.524590163934425;1;0.11267605633802817;None;Cable;0.18823529411764706;One Year;Yes;Credit Card;0.47159061821213605;0.25000000000000006;0.3333333333333333;0.5;0.0;0.0
1;No;0;0.19672131147540917;0;0.11267605633802817;None;Cable;0.11764705882352941;Month-to-Month;No;Credit Card;0.4201034132213877;0.4166666666666667;0.6666666666666666;0.16666666666666666;1.0;0.01388888888888889
2;No;0;0.42622950819672134;0;0.04225352112676056;Offer E;Fiber Optic;0.3529411764705882;Month-to-Month;Yes;Bank Withdrawal;0.5517175809789885;0.5;0.0;0.3333333333333333;0.0;0.0
3;Yes;0;0.7377049180327866;1;0.16901408450704225;Offer D;Fiber Optic;0.047058823529411764;Month-to-Month;Yes;Bank Withdrawal;0.7843753885309326;1.0;0.6666666666666666;0.5;0.0;0.0
4;Yes;0;0.4918032786885238;1;0.02816901408450704;None;Fiber Optic;0.12941176470588234;Month-to-Month;Yes;Credit Card;0.6482560903366417;0.9166666666666667;0.3333333333333333;0.3333333333333333;0.0;0.0
5;No;1;0.8688524590163933;0;0.11267605633802817;Offer E;Cable;0.8588235294117647;Month-to-Month;Yes;Credit Card;0.5082752517680444;0.08333333333333337;1.0;0.3333333333333333;0.0;0.0
6;Yes;0;0.557377049180328;1;0.9859154929577465;Offer A;Fiber Optic;0.16470588235294117;Two Year;Yes;Bank Withdrawal;0.897325444479387;0.75;1.0;0.8333333333333333;0.0;0.0
7;Yes;0;0.7377049180327866;1;0.8732394366197184;Offer B;Fiber Optic;0.08235294117647059;Two Year;Yes;Credit Card;0.6554964785384656;0.5;0.0;0.5;0.0;0.003968253968253968
8;No;0;0.4918032786885238;0;0.08450704225352114;Offer E;DSL;0.24705882352941178;Two Year;Yes;Bank Withdrawal;0.3036136119298195;0.8333333333333335;0.0;0.3333333333333333;0.0;0.0
9;Yes;1;0.9180327868852451;1;0.9014084507042254;None;Cable;0.16470588235294117;Two Year;Yes;Credit Card;0.7114888139659046;0.4166666666666667;1.0;1.0;0.0;0.0
10;No;0;0.32786885245901587;0;0.7464788732394366;None;Cable;0.11764705882352941;Two Year;No;Credit Card;0.27465205912252355;0.4166666666666667;0.3333333333333333;0.5;0.0;0.0
11;Yes;1;0.6557377049180317;1;1.0;None;Fiber Optic;0.6941176470588235;Two Year;Yes;Credit Card;0.9658677861233207;0.08333333333333337;1.0;1.0;0.0;0.0
12;Yes;0;0.9508196721311464;0;0.056338028169014086;None;Fiber Optic;0.11764705882352941;Month-to-Month;Yes;Bank Withdrawal;0.5039310188469499;0.6666666666666667;0.0;0.16666666666666666;0.0;0.0
13;No;0;0.31147540983606525;0;1.0;Offer A;Fiber Optic;0.18823529411764706;Two Year;Yes;Bank Withdrawal;0.8162330966189582;0.16666666666666669;0.3333333333333333;0.8333333333333333;0.0;0.0
14;No;0;0.557377049180328;0;0.7746478873239437;None;DSL;0.22352941176470587;Two Year;No;Bank Withdrawal;0.2732039814821587;0.3333333333333333;0.0;0.8333333333333333;0.0;0.0
15;Yes;1;0.524590163934425;1;0.9859154929577465;Offer A;Fiber Optic;0.1411764705882353;Two Year;Yes;Credit Card;0.7626542239254606;0.6666666666666667;0.6666666666666666;0.6666666666666666;0.0;0.0
16;Yes;1;0.8032786885245891;0;0.46478873239436624;None;DSL;0.23529411764705882;One Year;No;Credit Card;0.4295963666415569;0.5;1.0;0.6666666666666666;0.0;0.0
17;No;0;0.32786885245901587;0;0.0;Offer E;Fiber Optic;0.2588235294117647;One Year;Yes;Bank Withdrawal;0.5343406492946108;0.8333333333333335;0.0;0.3333333333333333;0.0;0.0
18;No;0;0.6557377049180317;0;0.619718309859155;None;DSL;0.2;One Year;No;Credit Card;0.44359445049841667;1.0;0.3333333333333333;0.5;0.0;0.0
19;No;0;0.8196721311475397;0;0.0;None;Cable;0.10588235294117647;Month-to-Month;Yes;Bank Withdrawal;0.08060965531364048;0.75;0.0;0.16666666666666666;0.0;0.0
20;Yes;0;0.5901639344262293;0;0.6901408450704226;None;None;0.0;One Year;No;Bank Withdrawal;0.081575040407217;1.0;0.0;0.16666666666666666;0.0;0.0
21;Yes;0;1.0;1;0.16901408450704225;None;Fiber Optic;0.611764705882353;Month-to-Month;No;Bank Withdrawal;0.7467253698814478;0.08333333333333337;0.3333333333333333;0.6666666666666666;0.0;0.0
22;Yes;1;0.524590163934425;1;0.3098591549295775;Offer D;Fiber Optic;0.3529411764705882;Month-to-Month;Yes;Bank Withdrawal;0.6468080126962767;0.16666666666666669;0.3333333333333333;0.3333333333333333;0.0;0.0
23;No;0;0.5737704918032787;0;0.02816901408450704;None;None;0.0;Month-to-Month;No;Credit Card;0.02992693790087253;0.0;0.0;0.0;0.0;0.0
24;Yes;0;0.9016393442622945;0;0.04225352112676056;Offer E;None;0.0;Month-to-Month;No;Credit Card;0.03475386336875519;0.25000000000000006;0.0;0.0;0.0;0.0
25;Yes;1;0.32786885245901587;1;0.0;None;DSL;0.22352941176470587;Month-to-Month;No;Bank Withdrawal;0.13274045036677323;0.25000000000000006;0.0;0.3333333333333333;0.0;0.0
26;Yes;1;0.5901639344262293;1;0.7605633802816901;None;Fiber Optic;0.6705882352941176;One Year;Yes;Bank Withdrawal;0.8394023388647949;0.25000000000000006;1.0;0.5;0.0;0.004545454545454546
27;Yes;1;0.8688524590163933;1;0.7464788732394366;None;None;0.0;Two Year;No;Credit Card;0.03523655591554342;0.3333333333333333;0.0;0.0;0.0;0.0
28;No;0;0.8852459016393439;0;0.35211267605633806;Offer C;None;0.0;One Year;Yes;Bank Withdrawal;0.0275134751669312;0.75;0.0;0.0;1.0;0.0
29;Yes;1;0.9016393442622945;1;0.9577464788732395;None;None;0.0;Two Year;No;Bank Withdrawal;0.028478860260507693;0.4166666666666667;0.0;0.0;0.0;0.0
30;Yes;1;0.6557377049180317;1;0.5070422535211268;Offer C;Fiber Optic;0.6;One Year;No;Credit Card;0.7187292021677285;0.08333333333333337;1.0;0.16666666666666666;0.0;0.0
31;Yes;0;0.0;1;0.676056338028169;Offer B;None;0.0;One Year;No;Bank Withdrawal;0.03571924846233171;0.5;0.0;0.0;0.0;0.0
32;Yes;0;0.0;1;0.9154929577464789;None;Fiber Optic;0.4823529411764706;One Year;No;Bank Withdrawal;1.0;0.16666666666666669;1.0;1.0;0.0;0.0
33;No;0;0.3606557377049171;0;0.9295774647887325;None;None;0.0;One Year;No;Bank Withdrawal;0.03668463355590826;0.16666666666666669;0.0;0.0;1.0;0.0
34;Yes;1;0.9836065573770494;1;0.26760563380281693;None;Cable;0.2588235294117647;Two Year;Yes;Credit Card;0.21865972369508457;0.25000000000000006;0.0;0.6666666666666666;0.0;0.0
35;No;1;0.8196721311475397;0;0.5915492957746479;None;None;0.0;Two Year;Yes;Bank Withdrawal;0.08060965531364048;0.16666666666666669;0.0;0.16666666666666666;0.0;0.0
36;Yes;0;0.8524590163934427;1;0.7605633802816901;Offer B;Fiber Optic;0.10588235294117647;Month-to-Month;Yes;Bank Withdrawal;0.7052138108576569;0.25000000000000006;0.3333333333333333;0.5;0.0;0.0
37;Yes;0;0.0;1;0.8169014084507042;Offer B;Fiber Optic;0.16470588235294117;Month-to-Month;Yes;Bank Withdrawal;0.7530003729896952;0.6666666666666667;0.3333333333333333;0.6666666666666666;0.0;0.0
38;Yes;1;0.03278688524590123;1;0.15492957746478872;None;None;0.0;Two Year;No;Bank Withdrawal;0.03427117082196693;0.5;0.0;0.0;0.0;0.0
39;Yes;1;0.3770491803278677;1;0.36619718309859156;Offer C;Fiber Optic;0.27058823529411763;Month-to-Month;Yes;Bank Withdrawal;0.5695772052101542;0.6666666666666667;0.0;0.3333333333333333;0.0;0.0
40;No;0;0.3442622950819665;0;0.014084507042253521;None;DSL;0.3176470588235294;Month-to-Month;Yes;Bank Withdrawal;0.31375015541237306;0.8333333333333335;0.0;0.3333333333333333;0.0;0.0
41;No;0;0.7377049180327866;0;0.36619718309859156;Offer C;DSL;0.6941176470588235;One Year;No;Credit Card;0.5932291400027792;0.0;1.0;0.6666666666666666;0.0;0.0
42;Yes;1;0.8852459016393439;1;0.33802816901408456;None;None;0.0;Two Year;No;Credit Card;0.08447119568794659;0.16666666666666669;0.0;0.16666666666666666;1.0;0.0
43;Yes;0;0.8360655737704921;1;0.33802816901408456;None;Cable;0.22352941176470587;One Year;Yes;Bank Withdrawal;0.4329752144690749;0.4166666666666667;0.0;0.6666666666666666;1.0;0.0
44;No;1;0.16393442622950793;0;0.3943661971830986;None;DSL;0.24705882352941178;Month-to-Month;Yes;Credit Card;0.27272128893537045;0.5833333333333333;0.0;0.8333333333333333;1.0;0.0
45;Yes;0;0.524590163934425;1;1.0;None;DSL;0.611764705882353;Two Year;Yes;Bank Withdrawal;0.6603234040063484;0.0;1.0;0.8333333333333333;0.0;0.0
46;No;0;0.8524590163934427;0;0.18309859154929578;None;Cable;0.1411764705882353;One Year;No;Credit Card;0.3349886274710568;0.75;0.0;0.3333333333333333;0.0;0.0
47;No;0;0.8688524590163933;0;0.47887323943661975;Offer C;Fiber Optic;0.023529411764705882;One Year;Yes;Bank Withdrawal;0.7964427022006393;0.3333333333333333;1.0;0.5;0.0;0.0
48;No;0;0.7377049180327866;0;0.0;Offer E;DSL;0.10588235294117647;Month-to-Month;Yes;Credit Card;0.2659635932803347;0.5833333333333333;0.0;0.16666666666666666;0.0;0.0
49;No;0;0.8524590163934427;0;0.3943661971830986;None;Fiber Optic;0.2;Month-to-Month;Yes;Bank Withdrawal;0.7476907549750245;0.5;1.0;0.16666666666666666;0.0;0.008620689655172415
50;No;0;1.0;0;0.8873239436619719;None;DSL;0.8117647058823529;One Year;No;Bank Withdrawal;0.6226733853568636;0.08333333333333337;0.3333333333333333;0.8333333333333333;0.0;0.0078125
51;Yes;1;1.0;1;0.5352112676056339;None;Fiber Optic;0.6235294117647059;Month-to-Month;Yes;Credit Card;0.803200397855675;0.25000000000000006;1.0;0.5;0.0;0.0
52;No;0;0.4918032786885238;0;0.5492957746478874;None;Fiber Optic;0.27058823529411763;Two Year;Yes;Bank Withdrawal;0.7221080499952464;0.8333333333333335;0.6666666666666666;0.16666666666666666;0.0;0.0
53;No;0;0.3606557377049171;0;0.5492957746478874;None;Fiber Optic;0.1764705882352941;Month-to-Month;Yes;Credit Card;0.8471254196134073;0.5;1.0;0.6666666666666666;0.0;0.0
54;No;1;0.2622950819672134;0;0.14084507042253522;Offer D;Fiber Optic;0.3411764705882353;Month-to-Month;Yes;Bank Withdrawal;0.7554138357236366;1.0;0.6666666666666666;0.16666666666666666;0.0;0.13636363636363635
55;Yes;0;0.8032786885245891;1;0.07042253521126761;Offer E;Cable;1.0;Month-to-Month;No;Bank Withdrawal;0.32436939144171495;0.16666666666666669;0.0;0.3333333333333333;0.0;0.0
56;No;0;0.8852459016393439;0;0.4084507042253521;None;DSL;0.1764705882352941;Month-to-Month;Yes;Mailed Check;0.46097138218279426;0.6666666666666667;0.6666666666666666;0.5;0.0;0.0
57;No;0;0.8360655737704921;0;0.36619718309859156;None;None;0.0;Month-to-Month;Yes;Bank Withdrawal;0.025582704979778104;0.08333333333333337;0.0;0.0;0.0;0.0
58;Yes;0;0.11475409836065609;1;0.971830985915493;None;Fiber Optic;0.32941176470588235;One Year;Yes;Bank Withdrawal;0.8500215748941369;0.75;0.6666666666666666;0.6666666666666666;1.0;0.0
59;Yes;0;0.8688524590163933;1;0.7887323943661972;Offer B;Fiber Optic;0.8588235294117647;One Year;Yes;Bank Withdrawal;0.8944292891986574;0.0;1.0;0.8333333333333333;0.0;0.0
60;Yes;0;0.3442622950819665;1;0.8028169014084507;None;DSL;0.21176470588235294;One Year;No;Credit Card;0.3238866988949266;0.6666666666666667;0.0;0.3333333333333333;1.0;0.0
61;No;0;0.03278688524590123;0;0.2112676056338028;None;DSL;0.5647058823529412;Month-to-Month;Yes;Bank Withdrawal;0.5275829536395751;0.08333333333333337;0.6666666666666666;0.6666666666666666;0.0;0.0
62;Yes;0;0.8852459016393439;1;0.9577464788732395;Offer A;Fiber Optic;0.3176470588235294;Two Year;Yes;Bank Withdrawal;0.9581447053747085;0.5833333333333333;1.0;1.0;0.0;0.0
63;No;0;0.8524590163934427;0;0.0;Offer E;None;0.0;Month-to-Month;Yes;Bank Withdrawal;0.02992693790087253;0.16666666666666669;0.0;0.0;0.0;0.0
64;No;0;0.0;0;0.0;None;Fiber Optic;0.29411764705882354;Month-to-Month;Yes;Bank Withdrawal;0.801269627668522;0.6666666666666667;1.0;0.5;0.0;0.0
65;Yes;1;0.3606557377049171;1;0.4366197183098592;Offer C;Fiber Optic;0.27058823529411763;One Year;Yes;Mailed Check;0.7452772922410831;0.8333333333333335;1.0;0.3333333333333333;0.0;0.0
66;Yes;1;0.3606557377049171;1;0.2112676056338028;Offer D;Fiber Optic;0.1411764705882353;Month-to-Month;Yes;Bank Withdrawal;0.7148676617934222;0.5;0.3333333333333333;0.5;0.0;0.0
67;Yes;0;0.5737704918032787;1;0.676056338028169;Offer B;Cable;0.11764705882352941;One Year;No;Bank Withdrawal;0.652600323257736;0.6666666666666667;1.0;0.8333333333333333;0.0;0.0
68;Yes;0;0.557377049180328;1;0.9859154929577465;Offer A;Cable;0.3411764705882353;Two Year;No;Bank Withdrawal;0.40063481383426097;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0
69;No;0;0.9836065573770494;0;0.4507042253521127;None;Fiber Optic;0.1411764705882353;Month-to-Month;No;Bank Withdrawal;0.8765696649674914;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0
