;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Avg Monthly GB Download;Paperless Billing;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;None;Offer A;Offer B;Offer C;Offer D;Offer E;Cable;DSL;Fiber Optic;Month-to-Month;One Year;Two Year;Bank Withdrawal;Credit Card;Mailed Check
0;1;0;0.524590163934425;1;0.11267605633802817;0.18823529411764706;1;0.47159061821213605;0.25000000000000006;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
1;0;0;0.19672131147540917;0;0.11267605633802817;0.11764705882352941;0;0.4201034132213877;0.4166666666666667;0.6666666666666666;0.16666666666666666;1.0;0.01388888888888889;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
2;0;0;0.42622950819672134;0;0.04225352112676056;0.3529411764705882;1;0.5517175809789885;0.5;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
3;1;0;0.7377049180327866;1;0.16901408450704225;0.047058823529411764;1;0.7843753885309326;1.0;0.6666666666666666;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
4;1;0;0.4918032786885238;1;0.02816901408450704;0.12941176470588234;1;0.6482560903366417;0.9166666666666667;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
5;0;1;0.8688524590163933;0;0.11267605633802817;0.8588235294117647;1;0.5082752517680444;0.08333333333333337;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
6;1;0;0.557377049180328;1;0.9859154929577465;0.16470588235294117;1;0.897325444479387;0.75;1.0;0.8333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0
7;1;0;0.7377049180327866;1;0.8732394366197184;0.08235294117647059;1;0.6554964785384656;0.5;0.0;0.5;0.0;0.003968253968253968;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
8;0;0;0.4918032786885238;0;0.08450704225352114;0.24705882352941178;1;0.3036136119298195;0.8333333333333335;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
9;1;1;0.9180327868852451;1;0.9014084507042254;0.16470588235294117;1;0.7114888139659046;0.4166666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
10;0;0;0.32786885245901587;0;0.7464788732394366;0.11764705882352941;0;0.27465205912252355;0.4166666666666667;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
11;1;1;0.6557377049180317;1;1.0;0.6941176470588235;1;0.9658677861233207;0.08333333333333337;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
12;1;0;0.9508196721311464;0;0.056338028169014086;0.11764705882352941;1;0.5039310188469499;0.6666666666666667;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
13;0;0;0.31147540983606525;0;1.0;0.18823529411764706;1;0.8162330966189582;0.16666666666666669;0.3333333333333333;0.8333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0
14;0;0;0.557377049180328;0;0.7746478873239437;0.22352941176470587;0;0.2732039814821587;0.3333333333333333;0.0;0.8333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
15;1;1;0.524590163934425;1;0.9859154929577465;0.1411764705882353;1;0.7626542239254606;0.6666666666666667;0.6666666666666666;0.6666666666666666;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
16;1;1;0.8032786885245891;0;0.46478873239436624;0.23529411764705882;0;0.4295963666415569;0.5;1.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
17;0;0;0.32786885245901587;0;0.0;0.2588235294117647;1;0.5343406492946108;0.8333333333333335;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
18;0;0;0.6557377049180317;0;0.619718309859155;0.2;0;0.44359445049841667;1.0;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
