;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;Churn Status
0;No;1;923;0;35;None;None;0.0;One Year;Yes;Credit Card;20.1;45;0;0;0.0;0.0;Customer
1;No;0;925;0;11;Offer D;Fiber Optic;76.0;Month-to-Month;No;Bank Withdrawal;72.9;25;0;2;0.0;0.0;Customer
2;No;0;954;0;65;None;None;0.0;Two Year;No;Credit Card;25.75;55;0;1;1.0;0.0;Customer
3;Yes;0;925;1;72;Offer A;Fiber Optic;14.0;Two Year;Yes;Credit Card;112.9;70;3;5;0.0;0.2777777777777778;Customer
4;No;0;923;0;31;None;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;80.45;45;0;3;0.0;0.0;Customer
5;Yes;0;921;1;38;Offer C;None;0.0;Two Year;No;Bank Withdrawal;20.4;60;0;0;0.0;0.0;Customer
6;Yes;1;950;1;59;None;Fiber Optic;53.0;Month-to-Month;Yes;Bank Withdrawal;96.65;35;2;4;0.0;0.0;Customer
7;Yes;1;900;1;70;None;Fiber Optic;53.0;Month-to-Month;Yes;Credit Card;97.55;60;1;4;0.0;0.0;Customer
8;Yes;1;902;1;9;None;Fiber Optic;16.0;Month-to-Month;Yes;Bank Withdrawal;101.5;35;3;3;0.0;0.0;Customer
9;Yes;1;926;1;34;Offer C;Fiber Optic;12.0;One Year;Yes;Bank Withdrawal;78.95;60;2;1;0.0;0.0;Customer
10;No;0;954;0;5;Offer E;Fiber Optic;17.0;Month-to-Month;No;Bank Withdrawal;80.7;70;0;3;0.0;0.0;Customer
11;Yes;0;935;1;71;None;Cable;6.0;One Year;Yes;Bank Withdrawal;84.8;50;3;5;0.0;0.0;Customer
12;Yes;0;930;1;30;None;None;0.0;One Year;No;Credit Card;19.8;35;0;0;0.0;0.0;Customer
13;Yes;1;917;1;13;None;None;0.0;Two Year;No;Mailed Check;19.55;20;0;0;0.0;0.0;Customer
14;Yes;0;955;1;31;Offer C;DSL;21.0;One Year;Yes;Credit Card;50.4;70;1;4;0.0;0.0;Customer
15;No;0;959;0;23;None;Cable;11.0;Month-to-Month;No;Bank Withdrawal;54.4;40;0;3;0.0;0.0;Customer
16;No;0;959;0;53;Offer B;None;0.0;Two Year;No;Credit Card;19.5;30;0;0;0.0;0.0;Customer
17;Yes;1;900;1;6;Offer E;None;0.0;Two Year;No;Mailed Check;25.4;60;0;1;0.0;0.0;Customer
18;No;0;946;0;29;None;DSL;27.0;Month-to-Month;No;Bank Withdrawal;34.3;40;0;3;0.0;0.0;Customer
19;No;0;956;0;21;Offer D;Fiber Optic;17.0;Two Year;Yes;Bank Withdrawal;104.35;75;3;3;0.0;6.190476190476191;Customer
20;No;0;922;0;19;None;Fiber Optic;13.0;Month-to-Month;Yes;Bank Withdrawal;78.7;55;1;1;1.0;0.0;Customer
21;No;1;932;0;6;Offer E;None;0.0;Month-to-Month;No;Credit Card;26.35;20;0;1;0.0;0.0;Customer
22;No;0;900;0;8;Offer E;Fiber Optic;42.0;Month-to-Month;Yes;Credit Card;74.6;20;0;2;0.0;0.0;Customer
23;No;1;910;0;29;None;DSL;21.0;Month-to-Month;Yes;Credit Card;45.0;55;0;5;1.0;0.0;Customer
24;No;0;921;0;61;None;DSL;8.0;Two Year;No;Bank Withdrawal;89.65;50;3;6;0.0;0.0;Customer
25;Yes;1;949;1;13;None;DSL;21.0;One Year;Yes;Bank Withdrawal;64.75;60;3;1;0.0;0.0;Customer
26;Yes;0;935;1;72;Offer A;Fiber Optic;25.0;Two Year;Yes;Bank Withdrawal;90.35;40;0;5;0.0;0.0;Customer
27;Yes;0;934;1;43;Offer B;Fiber Optic;8.0;One Year;Yes;Bank Withdrawal;100.55;75;3;3;0.0;0.0;Customer
28;No;0;960;0;10;None;DSL;59.0;Month-to-Month;Yes;Credit Card;54.5;30;0;3;0.0;0.0;Customer
29;No;0;919;0;66;None;Fiber Optic;15.0;One Year;Yes;Bank Withdrawal;88.9;35;1;3;0.0;0.0;Customer
30;Yes;1;951;1;32;None;DSL;17.0;Month-to-Month;No;Bank Withdrawal;61.4;50;0;4;0.0;0.0;Customer
31;Yes;1;922;1;70;Offer A;None;0.0;Two Year;No;Credit Card;25.35;65;0;1;0.0;0.0;Customer
32;Yes;1;932;1;68;None;Fiber Optic;85.0;One Year;Yes;Bank Withdrawal;85.5;25;0;4;0.0;0.0;Customer
33;Yes;0;932;1;26;None;Fiber Optic;4.0;Two Year;Yes;Credit Card;85.7;70;1;2;0.0;0.0;Customer
34;Yes;0;900;1;66;None;Fiber Optic;24.0;One Year;No;Bank Withdrawal;95.3;35;2;4;0.0;0.0;Customer
35;No;0;922;0;26;None;Fiber Optic;76.0;Month-to-Month;Yes;Bank Withdrawal;98.65;25;3;3;0.0;0.0;Customer
36;Yes;1;940;1;31;Offer C;Fiber Optic;57.0;Month-to-Month;No;Bank Withdrawal;89.3;35;0;5;0.0;0.0;Customer
37;Yes;1;959;1;27;None;None;0.0;Two Year;No;Credit Card;19.9;35;0;0;0.0;0.0;Customer
38;Yes;0;952;1;14;None;Fiber Optic;16.0;Month-to-Month;Yes;Bank Withdrawal;78.1;50;2;1;0.0;0.0;Customer
39;No;0;900;0;9;Offer E;Fiber Optic;8.0;Month-to-Month;Yes;Bank Withdrawal;76.85;50;0;2;0.0;0.0;Customer
40;No;1;924;0;61;Offer B;None;0.0;Two Year;Yes;Credit Card;25.0;60;0;1;0.0;0.0;Customer
41;No;0;935;0;12;None;None;0.0;One Year;No;Credit Card;19.3;60;0;0;0.0;0.0;Customer
42;No;0;905;0;33;Offer C;None;0.0;One Year;Yes;Bank Withdrawal;24.9;75;0;1;0.0;0.0;Customer
43;No;0;955;0;44;Offer B;Fiber Optic;59.0;Two Year;No;Bank Withdrawal;100.1;30;3;3;0.0;0.0;Customer
44;No;0;933;0;46;Offer B;Cable;16.0;Month-to-Month;Yes;Credit Card;45.2;35;0;1;0.0;0.0;Customer
