;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Avg Monthly GB Download;Paperless Billing;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;None;Offer A;Offer B;Offer C;Offer D;Offer E;Cable;DSL;Fiber Optic;Month-to-Month;One Year;Two Year;Bank Withdrawal;Credit Card;Mailed Check
0;0;0;1.0;0;0.20028997356372918;0.8714831480735452;1;0.2939872913696281;0.0;0.9999999999999999;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
1;1;0;0.3242451190936373;0;0.28734884866154736;0.5289723470185338;1;0.6324585039461741;0.21193975248145402;0.9150177315092194;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
2;0;1;0.0;0;0.8264505850966968;0.45701137659217383;1;0.8238929889844708;0.3970262695454425;0.9999999999999999;0.7961893083015708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
3;0;0;0.9796800262407368;0;0.33473291851926257;0.5536845031759123;0;0.7353176949341056;0.643051631872364;0.9999999999999999;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
4;1;1;0.09268142079643327;1;0.16431652990129214;0.8544612796335154;0;0.3467954685049193;0.3970262695454425;0.0;0.6765913077545982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
5;1;0;0.4674314381178857;1;0.33473291851926257;0.9865863030363056;1;0.6329689631449353;0.11021035158189507;0.9150177315092194;0.3593626315992619;0.0;0.9999613547810431;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
6;1;0;0.29372885671329163;1;0.5800232960478169;0.3340241572996854;1;0.6729059247864633;0.3071182854711807;0.7757388524072991;0.6765913077545982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
7;0;0;0.1762102434470354;0;0.43236306554550596;0.6652447257979848;1;0.09738880458267027;0.643051631872364;0.0;0.3593626315992619;0.0;0.9999163070301335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
8;0;0;0.7657080582502611;0;0.5538277315170852;0.30514005752711515;1;0.682155578858427;0.7922846783307931;0.7757388524072991;0.6765913077545982;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
9;0;0;0.9796800262407368;0;0.3960965504551539;0.7661800969724244;1;0.6263361076011653;0.11021035158189507;0.9150177315092194;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
10;0;0;0.9595077502837026;0;0.0;0.6472790559568753;1;0.4742597391578061;0.3970262695454425;0.0;0.3593626315992619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
11;1;0;0.4674314381178857;1;0.8178803558718853;0.799607148038199;1;0.8191787286369239;0.11021035158189507;0.9999999999999999;0.7961893083015708;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
12;1;0;0.27864381899797364;1;0.7155245077801056;0.6472790559568753;1;0.7800004867031425;0.11021035158189507;0.9999999999999999;0.6765913077545982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
13;1;0;0.8223605759445025;1;0.6288547558572521;0.5158716071514108;0;0.7296215482029604;0.482566625469411;0.9999999999999999;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
14;0;0;0.355228001819645;0;0.3960965504551539;0.7591937669109514;1;0.7503557444742985;0.21193975248145402;0.7757388524072991;0.7961893083015708;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
15;0;0;0.025968994543616564;0;0.07091180124731361;0.5876599159614624;1;0.5760500012738676;0.643051631872364;0.7757388524072991;0.3593626315992619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
16;0;0;0.27864381899797364;0;0.0;0.3340241572996854;1;0.4891848491420138;1.0;0.0;0.3593626315992619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
17;0;0;0.8415244944322744;0;0.43236306554550596;0.5876599159614624;1;0.5770618573820554;0.3970262695454425;0.0;0.6765913077545982;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
18;0;0;0.8608297621434189;0;0.3562883397910791;0.7591937669109514;1;0.5246736006020871;0.0;0.0;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
19;0;0;0.500590599683747;0;0.0;0.3340241572996854;0;0.2896990115373924;0.3071182854711807;0.0;0.5369200342253727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
20;1;0;0.9796800262407368;1;0.8677947874079315;0.5876599159614624;0;0.8538127688038766;0.7189044750648654;0.9999999999999999;0.7961893083015708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
21;1;0;0.0;1;0.684487343731595;0.934531235410399;0;0.40665835392194055;0.0;0.0;0.9027689941698518;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
