;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Avg Monthly GB Download;Paperless Billing;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;None;Offer A;Offer B;Offer C;Offer D;Offer E;Cable;DSL;Fiber Optic;Month-to-Month;One Year;Two Year;Bank Withdrawal;Credit Card;Mailed Check
0;0;0;1.0;0;0.056338028169014086;0.6941176470588235;1;0.3198097432276765;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
1;1;0;0.3770491803278677;0;0.09859154929577466;0.18823529411764706;1;0.6553156701720488;0.16666666666666669;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
2;0;1;0.0;0;0.676056338028169;0.12941176470588234;1;0.8368027943963438;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
3;0;0;0.9836065573770494;0;0.1267605633802817;0.21176470588235294;0;0.7534168184013975;0.5833333333333333;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
4;1;1;0.11475409836065609;1;0.04225352112676056;0.6588235294117647;0;0.3737653747538183;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
5;1;0;0.524590163934425;1;0.1267605633802817;0.9647058823529412;1;0.6558061759131956;0.08333333333333337;0.6666666666666666;0.16666666666666666;0.0;0.125;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
6;1;0;0.3442622950819665;1;0.33802816901408456;0.058823529411764705;1;0.6940656237226416;0.25000000000000006;0.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
7;0;0;0.21311475409835978;0;0.19718309859154928;0.3411764705882353;1;0.11085429749916398;0.5833333333333333;0.0;0.16666666666666666;0.0;0.07500000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
8;0;0;0.8032786885245891;0;0.3098591549295775;0.047058823529411764;1;0.7028947270632829;0.75;0.3333333333333333;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
9;0;0;0.9836065573770494;0;0.16901408450704225;0.49411764705882355;1;0.6494296012782879;0.08333333333333337;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
10;0;0;0.9672131147540988;0;0.0;0.3176470588235294;1;0.5012968674519714;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
11;1;0;0.524590163934425;1;0.6619718309859155;0.5529411764705883;1;0.8323882427260231;0.08333333333333337;1.0;0.6666666666666666;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
